gene	pct_coding_covered
BOLA2B	0
BPY2	0
BPY2B	0
BPY2C	0
C21orf140	0
CDY1	0
CDY1B	0
CDY2A	0
CDY2B	0
CENPVL1	0
CENPVL2	0
CFC1B	0
CT45A2	0
CT45A5	0
CT45A6	0
CT45A7	0
CT47A10	0
CT47A11	0
CT47A12	0
CT47A2	0
CT47A3	0
CT47A4	0
CT47A5	0
CT47A7	0
CT47A8	0
CT47A9	0
CTAG1A	0
CTAG1B	0
CXorf49	0
CXorf49B	0
CXorf51A	0
CXorf51B	0
DEFA1	0
DEFA1B	0
DEFB103A	0
DEFB103B	0
F8A2	0
F8A3	0
FAM156A	0
FAM156B	0
GAGE12F	0
GAGE12H	0
H2AB2	0
H2AB3	0
H2AC18	0
H2AC19	0
H3C14	0
H3C15	0
H4C14	0
H4C15	0
HSFY1	0
HSFY2	0
LOC102723553	0
LOC107983987	0
LOC122394733	0
MAGEA2	0
MAGEA2B	0
MAGED4	0
MAGED4B	0
NPIPA9	0
NUDT4B	0
NXF2	0
NXF2B	0
OPN1MW2	0
OPN1MW3	0
OR4F16	0
OR4F29	0
OR4F3	0
PPIAL4E	0
PPIAL4F	0
PRR20A	0
PRR20B	0
PRR20C	0
PRR20D	0
PRR20E	0
PRY	0
PRY2	0
RBMY1B	0
RGPD5	0
SMIM11	0
SMIM34	0
SPACA5	0
SPANXA1	0
SPANXA2	0
SPDYE11	0
TMSB15B	0
TP53TG3	0
TP53TG3B	0
TP53TG3C	0
TP53TG3E	0
TP53TG3F	0
USP17L12	0
USP17L21	0
USP17L24	0
USP17L25	0
USP17L26	0
USP17L27	0
USP17L28	0
USP17L30	0
VCY	0
VCY1B	0
XAGE1A	0
USP17L29	0.326428
DAZ1	0.625
SSX2B	0.848657
RBMY1D	1.03983
LIMS4	1.05263
GAGE12E	1.15702
TBC1D3D	1.83259
DAZ4	2.14286
DAZ2	2.22222
TSPY4	3.04233
CT45A8	3.07693
TBC1D3C	3.35277
