# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
A1BG	100
A1CF	100
A2M	100
A2ML1	100
A3GALT2	100
A4GALT	100
A4GNT	100
AAAS	100
AACS	100
AADAC	100
AADACL2	100
AADACL3	100
AADACL4	100
AADAT	100
AAGAB	100
AAK1	100
AAMDC	100
AAMP	100
AANAT	100
AAR2	100
AARD	100
AARS1	100
AARSD1	100
AASDH	100
AASDHPPT	100
AASS	100
AATF	100
AATK	99.9992
ABAT	100
ABCA1	100
ABCA10	100
ABCA12	100
ABCA13	100
ABCA2	100
ABCA3	100
ABCA4	100
ABCA5	100
ABCA6	100
ABCA7	100
ABCA8	100
ABCA9	100
ABCB1	100
ABCB10	99.024
ABCB11	100
ABCB4	100
ABCB5	100
ABCB6	100
ABCB7	100
ABCB8	100
ABCB9	100
ABCC1	97.0588
ABCC10	100
ABCC11	100
ABCC12	100
ABCC2	100
ABCC3	100
ABCC4	97.0588
ABCC5	97.0588
ABCC6	100
ABCC8	100
ABCC9	100
ABCD1	100
ABCD2	100
ABCD3	100
ABCD4	100
ABCE1	100
ABCF1	100
ABCF2-H2BK1	100
ABCF3	100
ABCG1	100
ABCG2	100
ABCG4	100
ABCG5	100
ABCG8	100
ABHD1	100
ABHD10	100
ABHD11	100
ABHD12	100
ABHD12B	100
ABHD13	100
ABHD14A	100
ABHD14A-ACY1	100
ABHD14B	100
ABHD15	100
ABHD16A	100
ABHD16B	100
ABHD17A	96.6667
ABHD17B	100
ABHD17C	98.0113
ABHD18	94.2481
ABHD2	100
ABHD3	100
ABHD4	100
ABHD5	100
ABHD6	100
ABHD8	100
ABI1	100
ABI2	100
ABI3	100
ABI3BP	100
ABITRAM	100
ABL1	100
ABL2	100
ABLIM1	100
ABLIM2	100
ABLIM3	100
ABO	100
ABR	99.8416
ABRA	100
ABRACL	100
ABRAXAS1	100
ABRAXAS2	100
ABT1	100
ABTB1	100
ABTB2	100
ABTB3	99.9102
ACAA1	100
ACAA2	100
ACACA	100
ACACB	100
ACAD10	100
ACAD11	100
ACAD8	100
ACAD9	100
ACADL	100
ACADM	100
ACADS	100
ACADSB	100
ACADVL	100
ACAN	99.2437
ACAP1	100
ACAP2	100
ACAP3	100
ACAT1	100
ACAT2	100
ACBD3	100
ACBD4	100
ACBD5	100
ACBD6	100
ACBD7	100
ACCS	100
ACCSL	100
ACD	100
ACE	99.9753
ACE2	100
ACER1	100
ACER2	100
ACER3	100
ACHE	100
ACIN1	100
ACKR1	100
ACKR2	100
ACKR3	100
ACLY	100
ACMSD	100
ACO1	100
ACO2	100
ACOD1	100
ACOT11	100
ACOT12	100
ACOT13	100
ACOT2	94.8955
ACOT4	100
ACOT6	100
ACOT7	100
ACOT8	100
ACOT9	100
ACOX1	100
ACOX2	100
ACOX3	100
ACOXL	100
ACP1	100
ACP2	100
ACP3	100
ACP4	100
ACP5	100
ACP6	100
ACP7	100
ACR	97.8559
ACRBP	100
ACRV1	100
ACSBG1	100
ACSBG2	100
ACSF2	100
ACSF3	100
ACSL1	100
ACSL3	100
ACSL4	99.7825
ACSL5	100
ACSL6	100
ACSM1	100
ACSM2A	100
ACSM2B	93.3333
ACSM3	100
ACSM4	100
ACSM5	100
ACSM6	100
ACSS1	99.919
ACSS2	100
ACSS3	100
ACTA1	100
ACTA2	100
ACTB	100
ACTBL2	100
ACTC1	100
ACTG1	100
ACTG2	100
ACTL6A	100
ACTL6B	100
ACTL7A	100
ACTL7B	100
ACTL8	100
ACTL9	100
ACTN1	100
ACTN2	100
ACTN3	100
ACTN4	100
ACTR10	100
ACTR1A	100
ACTR1B	100
ACTR2	100
ACTR3	100
ACTR3B	100
ACTR3C	99.1268
ACTR5	100
ACTR6	100
ACTR8	100
ACTRT1	100
ACTRT2	100
